skill_match_percentage,critical_skill_match_percentage,missing_skills_count,critical_missing_skills_count,optional_skill_match_percentage,project_relevance_score,certification_relevance_score,internship_relevance_score,resume_completeness_score,keyword_match_score,role_category_match_score,readiness_label
58,62,0,0,60,39,44,13,72,50,14,Needs Improvement
59,51,12,2,89,72,60,38,70,75,65,Moderately Ready
65,70,9,0,50,74,63,100,100,72,76,Highly Ready
78,71,16,12,7,43,35,81,62,87,54,Moderately Ready
50,44,0,12,48,72,59,65,85,76,41,Moderately Ready
27,45,15,0,82,28,49,27,59,28,68,Needs Improvement
66,92,3,0,100,87,44,85,78,98,75,Highly Ready
54,70,10,2,85,50,74,70,66,66,45,Moderately Ready
33,82,5,10,86,61,46,41,60,46,27,Needs Improvement
95,70,7,11,26,71,50,65,83,64,90,Highly Ready
79,51,16,7,86,51,63,43,66,43,60,Moderately Ready
65,56,7,4,100,59,52,43,55,28,15,Needs Improvement
72,55,12,9,72,80,69,33,100,84,48,Moderately Ready
41,56,20,2,60,36,28,44,43,44,46,Needs Improvement
61,70,16,0,46,43,34,69,82,83,57,Moderately Ready
18,40,12,7,79,48,44,28,77,55,68,Needs Improvement
100,62,13,0,33,87,86,74,89,96,92,Highly Ready
43,11,20,12,21,39,0,34,45,34,34,Not Ready Yet
23,48,9,12,29,37,54,40,32,50,37,Needs Improvement
20,51,20,0,16,36,2,45,19,19,20,Not Ready Yet
6,0,19,12,50,39,14,36,49,46,11,Not Ready Yet
77,95,4,5,86,73,100,55,84,79,60,Highly Ready
61,51,14,0,94,33,62,81,79,89,93,Moderately Ready
10,15,19,12,74,39,27,49,24,44,31,Not Ready Yet
30,66,20,12,20,42,48,89,78,87,57,Moderately Ready
25,11,5,6,63,24,31,52,47,22,34,Not Ready Yet
97,84,0,10,53,100,74,61,59,76,68,Highly Ready
44,49,20,9,80,39,12,28,13,29,35,Not Ready Yet
62,20,17,0,27,46,26,23,42,75,31,Needs Improvement
40,31,19,7,33,23,20,45,43,34,37,Not Ready Yet
71,73,0,0,64,92,68,65,66,76,52,Highly Ready
70,92,2,0,12,59,38,69,58,73,57,Moderately Ready
87,74,1,7,74,71,54,77,44,39,62,Moderately Ready
69,68,3,0,18,37,71,81,76,85,64,Moderately Ready
42,8,19,12,68,11,10,31,55,37,6,Not Ready Yet
68,78,0,1,74,76,58,41,44,83,100,Moderately Ready
54,52,1,7,9,52,31,27,50,33,53,Needs Improvement
80,82,11,0,81,93,81,88,100,72,94,Highly Ready
66,70,16,0,11,43,62,47,69,69,40,Moderately Ready
48,61,16,0,63,43,49,77,44,35,50,Needs Improvement
53,60,13,12,67,58,50,60,56,24,39,Needs Improvement
82,72,7,4,98,89,93,53,93,49,90,Highly Ready
17,16,20,9,31,36,37,29,31,32,32,Not Ready Yet
72,63,0,6,72,55,95,79,87,94,51,Highly Ready
37,30,7,0,19,0,19,21,41,23,23,Not Ready Yet
80,92,0,7,8,100,51,99,93,73,61,Highly Ready
48,42,6,5,46,66,76,59,75,76,78,Moderately Ready
44,85,0,0,50,82,71,32,90,79,45,Moderately Ready
72,94,7,7,41,73,84,55,82,97,100,Highly Ready
91,65,0,0,2,100,86,71,92,90,99,Highly Ready
66,40,0,0,0,88,45,68,74,60,83,Moderately Ready
16,30,13,5,39,49,34,25,9,48,52,Not Ready Yet
83,84,11,0,67,55,90,54,76,45,95,Moderately Ready
41,24,20,11,22,24,16,0,24,39,11,Not Ready Yet
76,54,8,12,9,60,59,51,71,75,62,Moderately Ready
30,73,15,12,70,47,61,42,49,60,27,Needs Improvement
82,61,20,3,43,53,67,59,95,39,71,Moderately Ready
34,11,20,7,33,33,25,43,29,33,21,Not Ready Yet
54,49,19,0,75,68,45,74,52,91,55,Moderately Ready
83,37,10,4,41,64,46,54,88,53,57,Moderately Ready
56,75,0,0,93,77,82,74,82,72,100,Highly Ready
57,30,7,0,22,28,20,64,78,23,49,Needs Improvement
44,61,7,4,1,55,38,60,22,53,66,Needs Improvement
79,99,1,6,42,95,80,47,91,71,69,Highly Ready
92,65,10,0,34,77,78,46,97,80,88,Highly Ready
4,37,20,0,53,23,34,4,20,27,21,Not Ready Yet
68,75,0,0,67,53,22,78,58,71,80,Moderately Ready
15,3,20,12,0,44,37,32,47,13,23,Not Ready Yet
32,28,12,10,96,29,33,40,55,27,46,Needs Improvement
50,31,13,10,75,59,48,90,53,74,85,Moderately Ready
79,38,1,12,81,51,71,67,81,68,65,Moderately Ready
91,67,13,1,58,94,40,75,95,93,71,Highly Ready
77,70,0,0,63,65,52,54,72,61,51,Moderately Ready
73,45,0,0,6,60,42,73,68,61,53,Moderately Ready
78,48,4,5,20,54,40,58,79,79,59,Moderately Ready
0,16,17,12,95,24,40,40,59,22,33,Not Ready Yet
79,73,1,1,74,81,94,72,71,91,53,Highly Ready
39,30,0,2,22,65,26,53,56,33,28,Needs Improvement
57,14,20,3,62,40,11,38,33,33,5,Not Ready Yet
92,70,2,0,100,93,60,55,96,100,82,Highly Ready
29,33,12,12,71,34,24,29,48,37,55,Not Ready Yet
57,81,3,0,13,93,83,59,74,55,57,Highly Ready
72,58,1,10,32,58,79,63,47,59,72,Moderately Ready
46,47,5,1,25,50,75,50,68,45,76,Moderately Ready
47,48,14,0,10,55,65,29,30,40,52,Needs Improvement
76,47,8,9,39,49,36,49,55,69,67,Moderately Ready
66,60,17,0,88,36,36,35,61,52,74,Moderately Ready
75,63,0,0,31,75,85,90,46,82,60,Moderately Ready
7,26,17,0,54,23,23,8,15,63,17,Not Ready Yet
34,51,6,11,0,29,32,40,52,58,27,Needs Improvement
34,31,15,12,68,42,8,27,58,53,52,Needs Improvement
54,39,19,2,45,64,37,59,73,38,33,Needs Improvement
23,33,4,12,14,21,5,8,10,31,50,Not Ready Yet
97,79,4,0,93,87,44,100,69,94,90,Highly Ready
78,65,6,9,48,48,62,61,63,100,61,Moderately Ready
53,55,8,0,28,57,46,82,63,74,93,Moderately Ready
17,22,5,12,34,29,30,0,36,19,20,Not Ready Yet
20,33,11,2,67,61,24,24,35,56,37,Needs Improvement
57,53,13,1,32,50,65,36,68,65,52,Needs Improvement
57,35,10,0,68,51,30,43,29,52,54,Needs Improvement
87,100,0,0,100,73,29,57,92,53,100,Highly Ready
35,63,2,0,67,69,40,88,79,82,64,Moderately Ready
33,81,10,4,32,80,82,56,87,68,66,Highly Ready
0,15,20,12,26,47,6,0,33,25,19,Not Ready Yet
49,32,0,0,93,59,43,70,68,48,23,Needs Improvement
77,66,0,7,16,78,80,47,95,86,57,Highly Ready
93,63,18,12,87,80,63,50,86,99,55,Highly Ready
63,42,0,12,7,42,16,53,49,51,15,Moderately Ready
34,46,16,12,94,20,24,5,21,40,34,Not Ready Yet
85,97,4,12,10,84,61,90,83,90,78,Highly Ready
27,73,20,5,61,28,60,41,68,74,66,Needs Improvement
36,29,0,0,11,29,49,21,50,50,29,Needs Improvement
